iteration,mean_reward,success_rate,lift_rate,min_xy_after_lift,bowl_radius_after_lift_rate,tight_radius_after_lift_rate,object_to_bowl_xy_reward,lifting_reward,lift_progress_reward
2628,79.72,0.0,0.8631,0.2617,0.0,0.0,2.0191,10.9342,3.644
2629,86.1,0.0,0.8806,0.261,0.0,0.0,2.0252,11.0442,3.6994
2630,89.38,0.0,0.8881,0.2591,0.0,0.0,2.0611,11.2554,3.7689
2631,82.84,0.0,0.8722,0.2598,0.0,0.0,2.0052,10.9473,3.6659
2632,86.74,0.0,0.8406,0.2601,0.0,0.0,1.9487,10.6374,3.5615
2633,83.41,0.0,0.8344,0.2597,0.0,0.0,1.9293,10.5599,3.5349
2634,86.29,0.0026,0.8803,0.2579,0.0026,0.0026,2.0449,11.1194,3.7224
2635,89.55,0.0,0.8684,0.2566,0.0,0.0,2.0322,11.0292,3.6925
2636,78.81,0.0,0.8311,0.26,0.0,0.0,1.9251,10.4108,3.4869
2637,83.49,0.0,0.8856,0.2588,0.0,0.0,2.0583,11.1892,3.7478
2638,87.9,0.0021,0.8797,0.2528,0.0021,0.0021,2.0486,11.0575,3.7024
2639,85.33,0.0,0.8677,0.2609,0.0,0.0,2.0396,11.1359,3.7311
2640,78.28,0.0,0.8226,0.2606,0.0,0.0,1.911,10.4031,3.4847
2641,84.07,0.0,0.8712,0.2613,0.0,0.0,1.9965,10.8406,3.6302
2642,88.27,0.0,0.9063,0.2581,0.0,0.0,2.0762,11.2665,3.7719
2643,81.41,0.0,0.8277,0.2529,0.0,0.0,1.9282,10.3634,3.4699
2644,88.66,0.0,0.8653,0.257,0.0,0.0,2.024,10.9653,3.6728
2645,83.08,0.0,0.8558,0.2585,0.0,0.0,1.9772,10.7821,3.611
2646,90.11,0.0,0.8907,0.2574,0.0,0.0,2.0828,11.2469,3.7664
2647,84.83,0.0,0.8642,0.2605,0.0,0.0,2.0324,11.0436,3.6983
2648,82.8,0.0,0.8484,0.2588,0.0,0.0,1.9441,10.5298,3.5256
2649,84.32,0.0,0.8484,0.254,0.0,0.0,2.0066,10.8032,3.6193
2650,85.14,0.0,0.854,0.2574,0.0,0.0,1.9803,10.7004,3.5845
2651,89.63,0.0025,0.8692,0.2534,0.0025,0.0,2.0173,10.8705,3.6398
2652,85.87,0.0,0.8691,0.2576,0.0,0.0,2.0201,10.9396,3.6636
2653,89.7,0.0,0.8629,0.2575,0.0,0.0,1.9774,10.7955,3.6152
2654,84.55,0.0,0.8446,0.2653,0.0,0.0,1.949,10.744,3.599
2655,90.84,0.0,0.8875,0.2615,0.0,0.0,2.041,11.1559,3.7373
2656,86.14,0.0,0.8748,0.2616,0.0,0.0,1.9863,10.8636,3.6374
2657,79.58,0.0,0.8602,0.2577,0.0,0.0,1.9882,10.8898,3.6481
2658,92.1,0.0,0.8821,0.2568,0.0,0.0,2.0244,11.1319,3.7272
2659,88.17,0.0,0.8664,0.257,0.0,0.0,2.0111,11.0203,3.6914
2660,83.76,0.0,0.8557,0.2557,0.0,0.0,1.9822,10.7813,3.6097
2661,85.05,0.0,0.8371,0.2588,0.0,0.0,1.9365,10.6168,3.5556
2662,83.66,0.0,0.8743,0.2555,0.0,0.0,2.0401,11.0978,3.7169
2663,87.17,0.0,0.8668,0.2569,0.0,0.0,2.0269,11.0366,3.6975
2664,84.79,0.0,0.8471,0.2587,0.0,0.0,1.9611,10.6503,3.5683
2665,87.22,0.0,0.8923,0.2563,0.0,0.0,2.083,11.3097,3.7884
2666,87.7,0.0,0.849,0.2554,0.0,0.0,1.9882,10.7384,3.5969
2667,82.48,0.0,0.8573,0.2556,0.0,0.0,1.9586,10.5645,3.5378
2668,90.78,0.0,0.849,0.2549,0.0,0.0,1.9819,10.6696,3.574
2669,85.14,0.0,0.8725,0.2547,0.0,0.0,2.0588,11.0978,3.7153
2670,83.51,0.0,0.829,0.254,0.0,0.0,1.9574,10.4953,3.5148
2671,91.13,0.0,0.8524,0.2495,0.0,0.0,2.0007,10.6907,3.5803
2672,86.09,0.0,0.8444,0.255,0.0,0.0,1.9824,10.6283,3.5585
2673,88.53,0.0,0.8681,0.2523,0.0,0.0,2.0381,10.8732,3.641
2674,85.51,0.0,0.8581,0.251,0.0,0.0,2.0234,10.7222,3.5896
2675,88.78,0.0,0.871,0.2514,0.0,0.0,2.0833,11.0098,3.6869
2676,82.33,0.0,0.8627,0.2517,0.0,0.0,2.0717,10.9478,3.6665
2677,80.76,0.0,0.8837,0.2505,0.0,0.0,2.0703,10.9476,3.6663
2678,88.73,0.0,0.8679,0.2494,0.0,0.0,2.0251,10.6588,3.5678
2679,83.7,0.0,0.8963,0.252,0.0,0.0,2.1123,11.2609,3.7697
2680,90.48,0.0,0.873,0.2554,0.0,0.0,2.052,10.908,3.6531
2681,84.83,0.0,0.8192,0.2592,0.0,0.0,1.9593,10.4699,3.5072
2682,89.64,0.0,0.8856,0.2521,0.0,0.0,2.1084,11.2016,3.7525
2683,82.2,0.0,0.886,0.2535,0.0,0.0,2.1067,11.2648,3.7739
2684,88.24,0.0,0.8595,0.252,0.0,0.0,2.0391,10.7933,3.6131
2685,88.27,0.0026,0.8718,0.2489,0.0026,0.0,2.0689,10.9322,3.6603
2686,86.51,0.0,0.8825,0.2454,0.0,0.0,2.1185,11.1657,3.7385
2687,83.93,0.0,0.8221,0.2525,0.0,0.0,1.9536,10.3808,3.4767
2688,88.91,0.0,0.8692,0.2473,0.0,0.0,2.0623,10.8795,3.6439
2689,82.06,0.0,0.8352,0.2442,0.0,0.0,1.996,10.524,3.5242
2690,87.59,0.0,0.8678,0.2444,0.0,0.0,2.0665,10.8613,3.6369
2691,85.62,0.0,0.8689,0.2456,0.0,0.0,2.0586,10.8565,3.6336
2692,85.36,0.0,0.8528,0.2453,0.0,0.0,2.0087,10.5885,3.5447
2693,72.46,0.0,0.8483,0.25,0.0,0.0,2.0017,10.6191,3.5572
2694,84.1,0.0,0.8685,0.2471,0.0,0.0,2.05,10.822,3.6241
2695,94.84,0.0,0.891,0.2487,0.0,0.0,2.1088,11.1585,3.7354
2696,91.81,0.0,0.88,0.2436,0.0,0.0,2.1286,11.1541,3.7363
2697,83.42,0.0,0.8906,0.245,0.0,0.0,2.1225,11.154,3.7349
2698,87.13,0.0,0.8796,0.2439,0.0,0.0,2.1151,11.1223,3.7255
2699,84.36,0.0,0.8635,0.2447,0.0,0.0,2.0472,10.8203,3.6227
2700,88.11,0.0,0.8685,0.246,0.0,0.0,2.0631,10.8612,3.6371
2701,88.15,0.0,0.8753,0.2417,0.0,0.0,2.135,11.2112,3.7552
2702,87.32,0.0,0.8625,0.2405,0.0,0.0,2.0495,10.7193,3.5884
2703,90.92,0.0,0.8679,0.2424,0.0,0.0,2.0914,10.9997,3.6844
2704,86.44,0.0,0.8442,0.243,0.0,0.0,1.9978,10.5212,3.5224
2705,90.18,0.0,0.8688,0.2452,0.0,0.0,2.0676,10.9112,3.652
2706,86.15,0.0,0.852,0.2395,0.0,0.0,2.0262,10.5934,3.5464
2707,86.69,0.0,0.8977,0.2436,0.0,0.0,2.1444,11.3221,3.7911
2708,86.31,0.0,0.8748,0.2439,0.0,0.0,2.1104,11.0436,3.6974
2709,91.27,0.0,0.8989,0.2414,0.0,0.0,2.1697,11.3503,3.7997
2710,90.45,0.0025,0.8959,0.2401,0.0025,0.0,2.1413,11.109,3.7175
2711,86.97,0.0,0.8632,0.2438,0.0,0.0,2.0596,10.7607,3.6047
2712,85.36,0.0,0.8588,0.2399,0.0,0.0,2.0494,10.5938,3.5442
2713,89.29,0.0,0.8891,0.2374,0.0,0.0,2.1683,11.2316,3.7617
2714,95.31,0.0,0.9041,0.2383,0.0,0.0,2.1822,11.2486,3.7652
2715,83.58,0.0,0.8716,0.2398,0.0,0.0,2.1058,10.9076,3.6519
2716,86.73,0.0015,0.8578,0.2359,0.0015,0.0015,2.0697,10.7033,3.5826
2717,90.91,0.0,0.8904,0.2374,0.0,0.0,2.1257,10.9393,3.6628
2718,89.08,0.0,0.8763,0.2382,0.0,0.0,2.1415,11.087,3.7139
2719,80.18,0.0,0.8573,0.2384,0.0,0.0,2.0357,10.5191,3.5205
2720,90.05,0.0,0.9093,0.2353,0.0,0.0,2.2377,11.5004,3.8521
2721,93.55,0.0,0.8863,0.2364,0.0,0.0,2.1789,11.2524,3.7688
2722,94.78,0.0,0.8949,0.2344,0.0,0.0,2.1838,11.1787,3.7429
2723,85.48,0.0,0.8551,0.2332,0.0,0.0,2.0883,10.6988,3.5837
2724,84.72,0.0,0.8599,0.2347,0.0,0.0,2.0944,10.7968,3.6159
2725,84.28,0.0,0.8837,0.2342,0.0,0.0,2.1375,10.9875,3.6785
2726,88.8,0.003,0.8447,0.2302,0.003,0.003,2.0745,10.6569,3.5681
2727,82.09,0.0,0.8681,0.2329,0.0,0.0,2.1469,10.9909,3.6808
2728,89.07,0.0,0.8525,0.235,0.0,0.0,2.0541,10.654,3.5687
2729,79.77,0.0,0.854,0.2343,0.0,0.0,2.0829,10.7476,3.5989
2730,85.55,0.0,0.8718,0.233,0.0,0.0,2.1456,11.0345,3.6935
2731,88.69,0.0,0.8684,0.228,0.0,0.0,2.1377,10.8168,3.6141
2732,81.29,0.0,0.8598,0.2318,0.0,0.0,2.0775,10.6024,3.5502
2733,86.91,0.0,0.8871,0.2302,0.0,0.0,2.1698,11.1474,3.7327
2734,82.68,0.0,0.8798,0.2275,0.0,0.0,2.1553,10.9667,3.6724
2735,87.0,0.0,0.9001,0.23,0.0,0.0,2.1549,11.0225,3.69
2736,89.53,0.0,0.8474,0.232,0.0,0.0,2.0748,10.6977,3.5802
2737,84.95,0.0,0.8702,0.2296,0.0,0.0,2.1179,10.8958,3.6499
2738,78.68,0.0,0.836,0.2301,0.0,0.0,2.0252,10.3715,3.472
2739,88.12,0.0,0.8614,0.2296,0.0,0.0,2.1036,10.8192,3.6228
2740,87.11,0.0,0.875,0.2324,0.0,0.0,2.1229,10.9386,3.6628
2741,85.98,0.0,0.8651,0.2313,0.0,0.0,2.1279,10.9336,3.6614
2742,89.84,0.0,0.8644,0.2309,0.0,0.0,2.0874,10.7458,3.5968
